,MAKE,MODEL,TRIM_LEVEL,BODY_TYPE,FUEL_TYPE,TRANSMISSION,NUMBER_OF_DOORS,DRIVEN_WHEELS,ENGINE_SIZE,POWER_TRAIN_TYPE,BATTERY_CAPACITY_KWH,MAX_POWER_HP,MAX_POWER_KW,SECONDARY_VERSION
1532,NISSAN,Interstar,Comfort,panel van,diesel,manual,4 dr,FWD,,,,,132kW,
1533,NISSAN,Interstar,Optima,panel van,diesel,manual,4 dr,FWD,,,,,99kW,
1534,NISSAN,Interstar,Tekna,panel van,diesel,manual,4 dr,FWD,,,,135PS,,
1535,NISSAN,JUKE,N-CONNECTA,sports utility vehicle,unleaded,automatic,5 portes,FWD,1.6,HEV,,,,
1536,NISSAN,JUKE,ULTIMATE EDITION,sports utility vehicle,unleaded,manual,5 portes,FWD,1.6,,,,83KW,
1537,NISSAN,Juke,Business+,sports utility vehicle,unleaded,automatic,5 portes,FWD,,HEV,,,,
1538,NISSAN,LEAF,ACENTA,,,,,,,,39 kWh,,,
1539,NISSAN,LEAF,ACENTA,,,,,,,,40 KWH,,,
1540,NISSAN,Leaf,Business+,hatchback,electric,automatic,5 portes,FWD,,BEV,,150ch,,
1541,NISSAN,Leaf,Leaf10,hatchback,electric,automatic,5 portes,FWD,,BEV,62KWH,217 PS,,
1542,NISSAN,MICRA,N-CONNECTA,hatchback,unleaded,automatic,5 portes,FWD,1.0,,,,,
1543,NISSAN,MICRA,VISIA,hatchback,unleaded,manual,5 portes,FWD,1.0,,,,,
1544,NISSAN,Micra,Acenta,hatchback,unleaded,manual,5 portes,FWD,,,,,,
1545,NISSAN,NT400,Básico,chassis cab,diesel,manual,2 door,RWD,,,,,,
1546,NISSAN,NV200,EVALIA,mini MPV,electric,automatic,5 portes,FWD,,BEV,40KWH,,,
1547,NISSAN,NV200,VISIA,panel van,electric,automatic,5 portes,FWD,,BEV,40KWH,,,
1548,NISSAN,NV250,COMFORT,car van,DCI,manual,4 dr,FWD,1.5,,,,70KW,
1549,NISSAN,NV250,COMFORT,car van,diesel,manual,4 dr,FWD,,,,115 CV,85 kW,
1550,NISSAN,NV300,,combi,DCI,manual,5 portes,FWD,2.0,,,170PS,,
1551,NISSAN,NV300,,panel van,DCI,manual,4 dr,FWD,1.6,,,145HP,,
1552,NISSAN,NV300,ACENTA,panel van,DCI,manual,4 dr,FWD,1.6,,,95PS,,
1553,NISSAN,NV300,COMFORT,combi,diesel,manual,4 dr,FWD,,,,,88KW,
1554,NISSAN,NV300,OPTIMA,panel van,DCI,manual,5 portes,FWD,2.0,,,,,
1555,NISSAN,NV300,PRO,panel van,DCI,manual,4 dr,FWD,1.6,,,,,
1556,NISSAN,NV300,TEKNA,panel van,DCI,manual,4 dr,FWD,1.6,,,145PS,,
1557,NISSAN,NV300,TEKNA,panel van,DCI,manual,4 dr,FWD,2.0,,,120PS,,
1558,NISSAN,NV300,Tekna,panel van,dCi,manual,5 portes,FWD,2.0,,,120 PS,,
1559,NISSAN,NV300,Tekna,panel van,dCi,manual,4 dr,FWD,1.6,,,145 PS,,
1560,NISSAN,NV300,VISIA,panel van,DCI,manual,4 dr,FWD,1.6,,,,,
1561,NISSAN,NV300,VISIA,panel van,DCI,manual,4 dr,FWD,2.0,,,120PS,,
1562,NISSAN,NV400,Optima,platform cab,DCI,manual,2 door,FWD,2.3,,,,,
1563,NISSAN,NV400,,chassis cab,DCI,manual,4 dr,FWD,2.3,,,165CV,,
1564,NISSAN,NV400,,chassis cab,DCI,manual,2 door,RWD,2.3,,,165CV,,
1565,NISSAN,NV400,,platform cab,DCI,manual,2 door,FWD,2.3,,,170CV,,
1566,NISSAN,NV400,ACENTA,panel van,DCI,automatic,4 dr,FWD,2.3,,,150PS,,
1567,NISSAN,NV400,Base,drop side,dCi,manual,4 dr,RWD,2.3,,,165,,
1568,NISSAN,NV400,BASIC,chassis cab,diesel,manual,4 dr,FWD,,,,,96kW,
1569,NISSAN,NV400,BASIC,drop side,diesel,manual,2 door,FWD,,,,,107KW,
1570,NISSAN,NV400,BASIC,drop side,diesel,manual,2 door,RWD,,,,,120kW,
1571,NISSAN,NV400,COMFORT,chassis cab,diesel,manual,4 dr,RWD,,,,,96KW,
1572,NISSAN,NV400,COMFORT,combi,diesel,manual,4 dr,FWD,,,,,107kW,
1573,NISSAN,NV400,COMFORT,drop side,diesel,manual,2 door,RWD,,,,,120KW,
1574,NISSAN,NV400,COMFORT,panel van,diesel,manual,4 dr,FWD,,,,,107KW,
1575,NISSAN,NV400,COMFORT,panel van,diesel,manual,4 dr,FWD,,,,,110KW,
1576,NISSAN,NV400,COMFORT,panel van,diesel,manual,4 dr,FWD,,,,,125KW,
1577,NISSAN,NV400,Comfort,panel van,diesel,manual,4 dr,FWD,,,,,99kW,
1578,NISSAN,NV400,Comfort,panel van,diesel,manual,4 dr,FWD,,,,,132kW,
1579,NISSAN,NV400,COMFORT,platform cab,diesel,manual,2 door,FWD,,,,,96kW,
1580,NISSAN,NV400,N-CONNECTA,panel van,DCI,manual,4 dr,FWD,2.3,,,,,
1581,NISSAN,NV400,OPTIMA,chassis cab,DCI,manual,4 dr,FWD,2.3,,,,,
1582,NISSAN,NV400,OPTIMA,drop side,diesel,manual,2 door,RWD,,,,,107kW,
1583,NISSAN,NV400,Optima,panel van,diesel,manual,4 dr,FWD,,,,,99kW,
1584,NISSAN,NV400,TEKNA,chassis cab,DCI,automatic,4 dr,FWD,2.3,,,180PS,,
1585,NISSAN,NV400,TEKNA,panel van,DCI,manual,4 dr,FWD,2.3,,,150PS,,
1586,NISSAN,NV400,TEKNA,panel van,DCI,automatic,5 portes,FWD,2.3,,,150PS,,
1587,NISSAN,Navara,Acenta,pick-up,diesel,manual,4 dr,AWD,,,,,140kW,
1588,NISSAN,Navara,Tekna,pick-up,diesel,manual,4 dr,AWD,,,,,120kW,
1589,NISSAN,Navara,Visia,pick-up,diesel,manual,4 dr,AWD,,,,,120kW,
1590,NISSAN,Navara,Visia,pick-up,diesel,manual,4 dr,AWD,,,,,,
1591,NISSAN,PRIMASTAR,ACENTA,panel van,DCI,automatic,4 dr,FWD,2.0,,,150PS,,
1592,NISSAN,PRIMASTAR,N-CONNECTA,panel van,DCI,automatic,4 dr,FWD,2.0,,,,,
1593,NISSAN,PRIMASTAR,VISIA,panel van,DCI,manual,4 dr,FWD,2.0,,,110PS,,
1594,NISSAN,Primastar,Acenta,panel van,DCI,manual,4 dr,FWD,2.0,,,170cv,,
1595,NISSAN,Primastar,Go,Combi,diesel,manual,4 dr,FWD,,,,,110kW,
1596,NISSAN,Primastar,N-Connecta,Van,DCI,manual,4 dr,FWD,2.0,,,110cv,,
1597,NISSAN,Primastar,N-CONNECTA,panel van,diesel,manual,4 dr,FWD,,,,,,
1598,NISSAN,Primastar,Tekna,panel van,DCI,manual,4 dr,FWD,2.0,,,150cv,,
1599,NISSAN,QASHQAI,ACENTA,sports utility vehicle,unleaded,manual,5 portes,FWD,1.3,MHEV,,140,,
1600,NISSAN,QASHQAI,BUSINESS,hatchback,DCI,manual,5 portes,FWD,1.5,,,115HP,,
1601,NISSAN,QASHQAI,N-CONNECTA,hatchback,DCI,manual,5 portes,FWD,1.5,,,,85KW,
1602,NISSAN,QASHQAI,N-CONNECTA,hatchback,DCI,manual,5 portes,FWD,1.5,,,,,
1603,NISSAN,QASHQAI,N-CONNECTA,hatchback,DCI,manual,5 portes,FWD,1.7,,,,,
1604,NISSAN,QASHQAI,N-CONNECTA,hatchback,DCI,manual,5 portes,FWD,1.7,,,,110KW,
1605,NISSAN,QASHQAI,N-STYLE,sports utility vehicle,unleaded,manual,5 portes,FWD,1.3,MHEV,,,,
1606,NISSAN,QASHQAI,TEKNA+,hatchback,DCI,automatic,5 portes,FWD,1.5,,,,85KW,
1607,NISSAN,QASHQAI,TEKNA+,hatchback,DIG-T,manual,5 portes,FWD,1.3,,,160PS,,
1608,NISSAN,TOWNSTAR,ACENTA,car van,electric,automatic,4 dr,FWD,,BEV,45KWH,,,
1609,NISSAN,TOWNSTAR,N-DESIGN,mini MPV,DIG-T,manual,5 portes,FWD,1.3,,,,,
1610,NISSAN,TOWNSTAR,PREMIUM,car van,electric,automatic,4 dr,FWD,,BEV,45KWH,,,
1611,NISSAN,TOWNSTAR,TEKNA,car van,electric,automatic,4 dr,FWD,,BEV,45KWH,,,
1612,NISSAN,TOWNSTAR,TEKNA,mini MPV,TCE,manual,5 portes,FWD,1.3,,,,96KW,
1613,NISSAN,TOWNSTAR,VISIA,car van,electric,automatic,4 dr,FWD,,BEV,45KWH,122PS,,
1614,NISSAN,X-TRAIL,TEKNA,sports utility vehicle,DCI,manual,5 portes,FWD,1.7,,,,,
1615,NISSAN,X-Trail,N-Connecta,sports utility vehicle,dCi,manual,5 portes,FWD,1.6,,,,,
1616,NISSAN,X-Trail,Tekna,sports utility vehicle,dCi,manual,5 portes,AWD,1.6,,,,,
1617,,Express,Confort,,Blue dCi,,,,1.5,,,,55 kW,
1618,PEUGEOT,3008,,,,,,,,,,,,
1619,,2008,ALLURE,,BlueHdi,EAT8,,,1.5,,,130cv,,
1620,,C3,,,,,,,,,,,,
1621,,C3,,,,,5P,,,,,,,
1622,,I10,PRIME,,,MT,5P,,1.0,,,,,
1623,,MICRA,ACENTA,,,,,,,,,,,
1624,,Ducato,,,Multijet,,,,,,,160cv,,
1625,,EXPERT,,,,,,,,,,,,
1626,,PARTNER,PREMIUM,,BlueHdi,,,,1.5,,,130cv,,
1627,,Sandero,Confort,,,,,,,,,,,
1628,,Astra,GS Line,,,,,,1.5,,,130cv,,
1629,OPEL,ADAM,GLAM,hatchback,LPG,manual,3 doors,FWD,1.4,,,,64KW,
1630,OPEL,ADAM,ROCKS 120 JAHRE,hatchback,unleaded,manual,3 doors,FWD,1.4,,,,74KW,
1631,OPEL,ASTRA,BUSINESS,estate,DIESEL,automatic,5 portes,FWD,1.6,,,,100KW,
1632,OPEL,ASTRA,EDITION,hatchback,DIESEL,manual,5 portes,FWD,1.6,,,,100KW,
1633,OPEL,ASTRA,ELEGANCE BUSINESS,hatchback,unleaded,automatic,5 portes,FWD,1.4,,,145PS,,
1634,OPEL,ASTRA,ELEGANCE,hatchback,unleaded,automatic,5 portes,FWD,1.2,,,,96KW,
1635,OPEL,ASTRA,GS LINE,hatchback,DIESEL,automatic,5 portes,FWD,1.5,,,,96KW,
1636,OPEL,ASTRA,ULTIMATE,hatchback,DIESEL,automatic,5 portes,FWD,1.5,,,,96KW,
1637,OPEL,Adam,WHITE EDITION,hatchback,unleaded,manual,3 doors,FWD,1.4,,,87ch,,
1638,OPEL,Astra,Edition,hatchback,unleaded,automatic,5 portes,FWD,1.4,,,,110kW,
1639,OPEL,Astra,Enjoy,hatchback,unleaded,manual,5 portes,FWD,1.2,,,,96kW,
1640,OPEL,Astra,GS Line,estate,diesel,automatic,5 portes,FWD,1.5,,,130cv,,
1641,OPEL,Astra,GS Line,hatchback,Diesel,manual,5 portes,FWD,1.5,,,,96kW,
1642,OPEL,Astra,Ultimate,hatchback,Diesel,automatic,5 portes,FWD,1.5,,,,96kW,
1643,OPEL,Astra,Ultimate-Paket,estate,electric,automatic,5 portes,FWD,1.6,PHEV,,,133kW,
1644,OPEL,COMBO,COMBO LIFE,MPV,DIESEL,manual,5 portes,FWD,1.5,,,,75KW,
1645,OPEL,COMBO,EDITION,car van,DIESEL,manual,4 dr,FWD,1.5,,,,56KW,
1646,OPEL,COMBO,EDITION,car van,DIESEL,manual,4 dr,FWD,1.5,,,,75KW,
1647,OPEL,COMBO,EDITION,car van,unleaded,automatic,4 dr,FWD,1.2,,,,96KW,
1648,OPEL,COMBO,EXPRESS,car van,diesel,manual,3 doors,FWD,1.5,,,,75KW,
1649,OPEL,COMBO,INNOVATION,mini MPV,DIESEL,automatic,5 portes,FWD,1.5,,,,96KW,
1650,OPEL,COMBO,LIFE ELEGANCE,combi,DIESEL,automatic,5 portes,FWD,1.5,,,,96KW,
1651,OPEL,COMBO,LIFE ELEGANCE,combi,DIESEL,manual,5 portes,FWD,1.5,,,,96KW,
1652,OPEL,COMBO,SELECTION,car van,DIESEL,manual,3 doors,FWD,1.5,,,,56KW,
1653,OPEL,CORSA,BLACK EDITION,hatchback,unleaded,manual,5 portes,FWD,1.4,,,90PS,,
1654,OPEL,CORSA,CORSA-E EDITION,hatchback,electric,automatic,5 portes,FWD,,BEV,,,100 KW,
1655,OPEL,CORSA,DESIGN & TECH,hatchback,electric,automatic,5 portes,FWD,,BEV,50KWH,,,
1656,OPEL,CORSA,ELEGANCE,hatchback,unleaded,automatic,5 portes,FWD,1.2,,,,74KW,
1657,OPEL,CORSA,GS,hatchback,electric,automatic,5 portes,FWD,,BEV,50KWH,,,
1658,OPEL,CORSA,ULTIMATE,hatchback,DIESEL,manual,5 portes,FWD,1.5,,,,75KW,
1659,OPEL,CROSSLAND,GS LINE,sports utility vehicle,unleaded,manual,5 portes,FWD,1.2,,,,61KW,
1660,OPEL,CROSSLAND,GS,sports utility vehicle,unleaded,manual,5 portes,FWD,1.2,,,,96KW,
1661,OPEL,CROSSLAND,ULTIMATE,sports utility vehicle,DIESEL,automatic,5 portes,FWD,1.5,,,,88KW,
1662,OPEL,CROSSLAND X,120 JAHRE,sports utility vehicle,DIESEL,manual,5 portes,FWD,1.5,,,,75KW,
1663,OPEL,Combo,Cargo,car van,CDTI,manual,3 doors,FWD,1.6,,,,,
1664,OPEL,Combo,Select,car van,diesel,manual,4 dr,FWD,,,,,,
1665,OPEL,Corsa,120 Anniversary,hatchback,unleaded,manual,5 portes,FWD,1.4,,,90cv,,
1666,OPEL,Corsa,affaires Pack clim+,commercial hatch,unleaded,manual,3 doors,FWD,1.4,,,90ch,,
1667,OPEL,Corsa,Color Edition,hatchback,unleaded,manual,5 portes,FWD,1.4,,,90CV,66kW,
1668,OPEL,Corsa,Color Edition,hatchback,unleaded,automatic,5 portes,FWD,1.4,,,,,
1669,OPEL,Corsa,Edition,hatchback,unleaded,automatic,5 portes,FWD,1.2,,,,74kW,
1670,OPEL,Crossland,GS Line,sports utility vehicle,unleaded,manual,5 portes,FWD,1.2,,,110cv,,
1671,OPEL,Crossland X,120 Anniversary,sports utility vehicle,unleaded,manual,5 portes,FWD,1.2,,,110cv,,
1672,OPEL,Crossland X,Business Innovation,sports utility vehicle,Diesel,manual,5 portes,FWD,1.5,,,102ch,,
1673,OPEL,Crossland X,Edition Pro,sports utility vehicle,unleaded,manual,5 portes,FWD,1.2,,,81CV,60kW,
1674,OPEL,GRANDLAND,ULTIMATE,sports utility vehicle,electric,automatic,5 portes,FWD,1.6,PHEV,,,,
1675,OPEL,GRANDLAND X,BUSINESS ELEGANCE,sports utility vehicle,unleaded,automatic,5 portes,FWD,1.2,,,,96KW,
1676,OPEL,GRANDLAND X,EDITION BUSINESS,sports utility vehicle,DIESEL,manual,5 portes,FWD,1.5,,,,96KW,
1677,OPEL,GRANDLAND X,SELECTIVE,sports utility vehicle,CDTI,manual,5 portes,FWD,1.6,,,,,
1678,OPEL,Grandland X,Innov. Business,sports utility vehicle,unleaded,manual,5 portes,FWD,1.2,,,130ch,,
1679,OPEL,INSIGNIA,BUSINESS,hatchback,DIESEL,automatic,5 portes,FWD,2.0,,,174PS,,
1680,OPEL,INSIGNIA,ELEG,estate,DIESEL,automatic,5 portes,FWD,2.0,,,,128KW,
1681,OPEL,INSIGNIA,GS LINE PLUS,hatchback,DIESEL,automatic,5 portes,FWD,2.0,,,,128KW,
1682,OPEL,INSIGNIA,INNOVATION BUSINESS,hatchback,unleaded,manual,5 portes,FWD,1.5,,,,,
1683,OPEL,INSIGNIA,ULTIMATE,hatchback,DIESEL,manual,5 portes,FWD,1.5,,,,90KW,
1684,OPEL,Insignia,Business Edit,hatchback,Diesel,manual,5 portes,FWD,1.6,,,,100kW,
1685,OPEL,Insignia,Edition,hatchback,diesel,automatic,5 portes,FWD,1.5D,,,122CV,90kW,
1686,OPEL,MOKKA,ELEGANCE,sports utility vehicle,unleaded,manual,5 portes,FWD,1.2,,,,100KW,
1687,OPEL,MOKKA,GS LINE+,sports utility vehicle,electric,automatic,5 portes,FWD,,BEV,50KWH,,,
1688,OPEL,MOKKA,GS,sports utility vehicle,electric,automatic,5 portes,FWD,,BEV,50KWH,,,
1689,OPEL,MOVANO,,chassis cab,diesel,manual,2 door,RWD,,,,,120KW,
1690,OPEL,MOVANO,,chassis cab,diesel,manual,2 door,RWD,,,,,,
1691,OPEL,MOVANO,,panel van,D,manual,4 dr,FWD,2.3,,,,100KW,
1692,OPEL,MOVANO,,panel van,D,automatic,4 dr,FWD,2.3,,,,132KW,
1693,OPEL,MOVANO,,panel van,D,manual,4 dr,FWD,2.3,,,135PS,,
1694,OPEL,MOVANO,,parcel van,D,manual,3 doors,FWD,2.3,,,,125KW,
1695,OPEL,MOVANO,EDITION,panel van,BLUEHDI,manual,4 dr,FWD,2.2,,,,103KW,
1696,OPEL,MOVANO,EDIT.,panel van,D,manual,4 dr,FWD,2.3,,,,110KW,
1697,OPEL,MOVANO,EDITION,panel van,electric,automatic,4 dr,FWD,,BEV,37KWH,,,
1698,OPEL,MOVANO,SELECTION,chassis cab,D,manual,2 door,FWD,2.2,,,,88KW,
1699,OPEL,MOVANO,SELECTION,panel van,D,manual,4 dr,FWD,2.2,,,,88KW,
1700,OPEL,Movano,,chassis cab,diesel,manual,2 door,FWD,,,,,125kW,
1701,OPEL,Movano,,chassis cab,diesel,manual,4 dr,FWD,2.3D,,,,120kW,
1702,OPEL,Movano,,panel van,diesel,manual,4 dr,RWD,2.3,,,,107kW,
1703,OPEL,Movano,,panel van,diesel,manual,4 dr,FWD,2.3,,,180cv,,
1704,OPEL,Movano,Pack Clim,chassis cab,diesel,manual,4 dr,FWD,,,,165ch,,
1705,OPEL,Movano,,chassis cab,diesel,manual,2 door,FWD,,,,180 Ch,,
1706,OPEL,Movano,,chassis cab,Electrique,automatic,2 door,FWD,,BEV,75KWH,,,
1707,OPEL,Movano,Edition,chassis cab,D,manual,2 door,FWD,2.2,,,,103kW,
1708,OPEL,Movano,Edition,panel van,CDTI,manual,4 dr,RWD,2.3,,,145,,
1709,OPEL,Movano,Essentia,window van,diesel,manual,4 dr,FWD,2.2,,,120Ch,,
1710,OPEL,Movano,Pack Clim,drop side,diesel,manual,2 door,FWD,2.2,,,165ch,,
1711,OPEL,VIVARO,,combi,DIESEL,manual,4 dr,FWD,1.5,,,,88KW,
1712,OPEL,VIVARO,,COMBI,CDTI,manual,4 dr,FWD,1.6,,,,70KW,
1713,OPEL,VIVARO,,panel van,DIESEL,automatic,4 dr,FWD,2.0,,,,106KW,
1714,OPEL,VIVARO,,panel van,DIESEL,automatic,4 dr,FWD,2.0,,,,130KW,
1715,OPEL,VIVARO,EDITION,panel van,DIESEL,manual,4 dr,FWD,2.0,,,,90KW,
1716,OPEL,VIVARO,ELEGANCE,panel van,DIESEL,manual,4 dr,FWD,2.0,,,,90KW,
1717,OPEL,VIVARO,ENJOY,panel van,DIESEL,automatic,4 dr,FWD,2.0,,,,130KW,
1718,OPEL,VIVARO,ESSENTIA,panel van,DIESEL,manual,4 dr,FWD,2.0,,,,110KW,
1719,OPEL,VIVARO,EXPRESS,combi,DIESEL,automatic,4 dr,FWD,2.0,,,,107KW,
1720,OPEL,VIVARO,INNOVATION,panel van,DIESEL,manual,4 dr,FWD,2.0,,,,107KW,
1721,OPEL,VIVARO,PACK BUSINESS,panel van,CDTI,manual,4 dr,FWD,1.6,,,,,
1722,OPEL,VIVARO,SELECT,panel van,DIESEL,manual,4 dr,FWD,1.5,,,,75KW,
1723,OPEL,VIVARO,SELECT,panel van,DIESEL,manual,4 dr,FWD,2.0,,,,107KW,
1724,OPEL,Vivaro,,panel van,Diesel,manual,4 dr,FWD,"1,6",,,,88kW,
1725,OPEL,Vivaro,,panel van,Diesel,manual,4 dr,FWD,"1,6Bi",,,,107kW,
1726,OPEL,Vivaro,Essentia,panel van,diesel,manual,4 dr,FWD,2.0,,,150cv,,
1727,OPEL,Vivaro,Essentia,panel van,diesel,manual,5 portes,FWD,2.0,,,,,
1728,OPEL,Vivaro,Express,panel van,Diésel,manual,4 dr,FWD,1.5,,,100CV,74kW,
1729,OPEL,Vivaro,Express,panel van,Diésel,manual,4 dr,FWD,1.5,,,100CV,74kW,
1730,OPEL,Vivaro,Innovation,panel van,Diesel,manual,4 dr,FWD,2.0,,,,110 kW,
1731,OPEL,ZAFIRA,EDITION,MPV,DIESEL,manual,5 portes,FWD,1.5,,,120PS,,
1732,OPEL,ZAFIRA,EDITION,MPV,DIESEL,manual,4 dr,FWD,1.5,,,,88KW,
1733,OPEL,ZAFIRA,EDITION,MPV,DIESEL,manual,4 dr,FWD,2.0,,,,110KW,
1734,OPEL,ZAFIRA,ELEGANCE,MPV,DIESEL,automatic,5 portes,FWD,2.0,,,180PS,,
1735,OPEL,ZAFIRA,ELEGANCE,MPV,electric,automatic,5 portes,FWD,,BEV,50KWH,,,
1736,OPEL,ZAFIRA,LIFE-E EDITION,MPV,electric,automatic,5 portes,FWD,,BEV,50KWH,,,
1737,OPEL,ZAFIRA,TOURER,MPV,electric,automatic,5 portes,FWD,,BEV,50KWH,,,
1738,OPEL,Zafira,Business,mini MPV,Diesel,manual,5 portes,FWD,1.6,,,,99kW,
1739,OPEL,Zafira Life,EDITION,MPV,Diesel,manual,5 portes,FWD,2.0,,,140 ch,,
1740,OPEL,Zafira Life,Edition,MPV,electric,automatic,5 portes,FWD,,BEV,50kWh,,100 kW,
1741,OPEL,Zafira Life,ELEGANCE,MPV,Diesel,manual,4 dr,FWD,2.0,,,150 ch,,
1742,OPEL,Zafira Life,Elegance,MPV,electric,automatic,5 portes,FWD,,BEV,,,50 KW,
1743,OPEL,Zafira Life,Zafira-e Life Elegance,MPV,electric,automatic,5 portes,FWD,,BEV,,,,
1744,Opel,Corsa-e,e-Elegance,,,,,,,,,,,
1745,PEUGEOT,108,Active Top!,micro car,unleaded,manual,5 portes,FWD,,,,68cv,,
1746,PEUGEOT,108,Active,micro car,unleaded,manual,5 portes,FWD,,,,,,
1747,PEUGEOT,108,STYLE,micro car,VTI,manual,5 portes,FWD,1.0,,,,,
1748,PEUGEOT,2008,ALLURE,,PURETECH,AUTO,5P,,1.2,,,130 CV,,
1749,PEUGEOT,2008,GT,,,AUT,,,,,,,,
1750,PEUGEOT,2008,Active,sports utility vehicle,BlueHDi,manual,5 portes,FWD,,,,,,
1751,PEUGEOT,2008,Allure Premium +,sports utility vehicle,BlueHDi,manual,5 portes,FWD,1.5L,,,,,
1752,PEUGEOT,2008,Allure,sports utility vehicle,BlueHDi,automatic,5 portes,FWD,,,,,,
1753,PEUGEOT,2008,SIGNATURE,sports utility vehicle,PURETECH,manual,5 portes,FWD,1.2,,,,,
1754,PEUGEOT,208,,,,MAN,,,,,,,,
1755,PEUGEOT,208,GT,hatchback,BLUEHDI,manual,5 portes,FWD,1.5,,,,73KW,
1756,PEUGEOT,3008,ALLURE PACK,,BLUEHDI,,5P,,1.5,,,130CV,,
1757,PEUGEOT,3008,ALLURE PACK,sports utility vehicle,PURETECH,manual,5 portes,FWD,1.2,,,,96KW,
1758,PEUGEOT,3008,Allure Prem +,sports utility vehicle,BlueHDi,automatic,5 portes,FWD,1.5L,,,,,
1759,PEUGEOT,3008,ALLURE,sports utility vehicle,PURETECH,automatic,5 portes,FWD,1.6,,,,,
1760,PEUGEOT,3008,GT,sports utility vehicle,Puretech,automatic,5 portes,FWD,1.6L,,,,,
1761,PEUGEOT,308,ACTIVE,SW,PURETECH,manual,5 portes,FWD,1.2,,,,,
1762,PEUGEOT,308,ALLURE PACK,hatchback,BLUEHDI,automatic,5 portes,FWD,1.5,,,,,
1763,PEUGEOT,308,Allure Pack,hatchback,PureTech,automatic,5 portes,FWD,,,,,,
1764,PEUGEOT,408,ALLURE,hatchback,electric,automatic,5 portes,FWD,1.6,PHEV,,,,
1765,PEUGEOT,5008,ACTIVE PACK,sports utility vehicle,BLUEHDI,automatic,5 portes,FWD,1.5,,,,96KW,
1766,PEUGEOT,5008,ACTIVE,sports utility vehicle,BLUEHDI,automatic,5 portes,FWD,1.5,,,,,
1767,PEUGEOT,5008,Allure Pack,sports utility vehicle,BlueHDi,manual,5 portes,FWD,,,,,,
1768,PEUGEOT,508,Allure,estate,BlueHDi,automatic,5 portes,FWD,,,,,,
1769,PEUGEOT,BIPPER,ACTIVE,combi,diesel,manual,5 portes,FWD,,,,80BHP,,
1770,PEUGEOT,BOXER,,panel van,BLUEHDI,manual,4 dr,FWD,2.0,,,,,
1771,PEUGEOT,BOXER,PROF,panel van,BLUEHDI,manual,4 dr,FWD,2.0,,,,,
1772,PEUGEOT,BOXER,,chassis cab,BLUEHDI,manual,2 door,FWD,2.0,,,,96KW,
1773,PEUGEOT,BOXER,,combi,BHDI,manual,4 dr,FWD,2.2,,,,88KW,
1774,PEUGEOT,BOXER,,panel van,BLUEHDI,manual,4 dr,FWD,2.0,,,,81KW,
1775,PEUGEOT,BOXER,,panel van,BLUEHDI,manual,4 dr,FWD,2.0,,,,96KW,
1776,PEUGEOT,BOXER,,panel van,BLUEHDI,manual,4 dr,FWD,2.2,,,140HP,,
1777,PEUGEOT,BOXER,,parcel van,BLUEHDI,manual,4 dr,FWD,2.0,,,160HP,,
1778,PEUGEOT,BOXER,,platform cab,BLUEHDI,manual,2 door,FWD,2.2,,,,103KW,
1779,PEUGEOT,Boxer,,,,,,,,,,,,
1780,PEUGEOT,BOXER,PREMIUM TWIN,panel van,BLUEHDI,manual,4 dr,FWD,2.2,,,,103KW,
1781,PEUGEOT,BOXER,PREMIUM,panel van,BLUEHDI,manual,4 dr,FWD,2.0,,,,,
1782,PEUGEOT,BOXER,PREMIUM,panel van,BLUEHDI,manual,4 dr,FWD,2.2,,,,103KW,
1783,PEUGEOT,BOXER,PREMIUM,panel van,electric,automatic,4 dr,FWD,,BEV,37KWH,,,
1784,PEUGEOT,BOXER,PRO,window van,BLUEHDI,manual,4 dr,FWD,2.0,,,,,
1785,PEUGEOT,BOXER,STANDARD,panel van,BLUEHDI,manual,4 dr,FWD,2.0,,,,81KW,
1786,PEUGEOT,Boxer,,drop side,BlueHDi,manual,4 dr,FWD,2.0,,,130cv,,
1787,PEUGEOT,Boxer,,panel van,BLUE,manual,4 dr,FWD,2.0,,,,121KW,
1788,PEUGEOT,Boxer,,parcel van,BlueHDi,manual,3 doors,FWD,2.0,,,,,
1789,PEUGEOT,Boxer,PRO,window van,BLUEHDI,manual,4 dr,FWD,,,,130,,
1790,PEUGEOT,EXPERT,,combi,electric,automatic,4 dr,FWD,,BEV,75KWH,,,
1791,PEUGEOT,EXPERT,,combi,electric,automatic,4 dr,FWD,,BEV,75 KWH,136 PS,,
1792,PEUGEOT,EXPERT,,panel van,BLUEHDI,automatic,4 dr,FWD,2.0,,,,,
1793,PEUGEOT,EXPERT,ASPHALT,panel van,BLUEHDI,automatic,4 dr,FWD,2.0,,,,,
1794,PEUGEOT,EXPERT,PACK ASPHALT C,panel van,electric,automatic,4 dr,FWD,,BEV,50 KWH,,,
1795,PEUGEOT,EXPERT,PREMIUM,panel van,BLUEHDI,automatic,4 dr,FWD,2.0,,,,90KW,
1796,PEUGEOT,EXPERT,PREMIUM,panel van,electric,automatic,4 dr,FWD,,BEV,50KWH,,,
1797,PEUGEOT,EXPERT,PREMIUM,panel van,electric,automatic,4 dr,FWD,,BEV,50KWH,,,
1798,PEUGEOT,EXPERT,PREMIUM,panel van,electric,automatic,4 dr,FWD,,BEV,75KWH,,,
1799,PEUGEOT,EXPERT,PRO,panel van,BLUEHDI,manual,4 dr,FWD,1.5,,,,,
